/fields=id,latitude,longitude,date_time,cruise,aqua_filename,aqua_es_error,aqua_pixel_total,aqua_tdiff,aqua_solz,aqua_senz,aqua_cv,aqua_windspeed,aqua_rrs412,aqua_rrs443,aqua_rrs488,aqua_rrs531,aqua_rrs547,aqua_rrs555,aqua_rrs667,aqua_rrs678,insitu_rrs412,insitu_rrs443,insitu_rrs488,insitu_rrs531,insitu_rrs547,insitu_rrs555,insitu_rrs667,insitu_rrs678,insitu_data_source
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,unitless
/end_header
594033,20.82386000,-157.19863000,2015-07-09 22:32:21,moby258,A2015190231500.L2_LAC.R0000031842_13885_594033.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2785,10.51,55.86,0.026,6.371,0.01386900,0.01030300,0.00662100,0.00222300,0.00161200,0.00127400,0.00016600,0.00017500,0.01354271,0.00996900,0.00653409,0.00216146,0.00150857,0.00137358,0.00011063,0.00011290,moby
594069,20.82712800,-157.19227500,2015-07-16 00:42:01,moby258,A2015197001500.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_594069_B5.tgz,0.00000000,25,-1330,24.49,50.23,0.013,6.390,0.01514200,0.01094700,0.00683900,0.00227500,0.00168400,0.00132000,0.00012100,0.00011500,0.01319944,0.00986599,0.00648923,0.00216062,0.00149507,0.00136028,0.00011253,0.00011551,moby
594081,20.82440000,-157.19741700,2015-07-17 22:32:03,moby258,A2015199000500.L2_LAC.R0000031842_13885_594081.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,5731,21.59,32.50,0.016,3.829,0.01686200,0.01231400,0.00760800,0.00267200,0.00199300,0.00162700,0.00021000,0.00021300,0.01448790,0.01055521,0.00637366,0.00211373,0.00146373,0.00133036,0.00009044,0.00009227,moby
594129,20.82550500,-157.19563000,2015-07-25 22:32:25,moby258,A2015206231500.L2_LAC.R0000031842_13885_594129.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2763,10.21,56.07,0.031,2.701,0.01661800,0.01234300,0.00755000,0.00266100,0.00197300,0.00162600,0.00017200,0.00013000,0.01408855,0.01040847,0.00660635,0.00208840,0.00145181,0.00131714,0.00008308,0.00008195,moby
594141,20.82480000,-157.19632000,2015-07-26 23:37:07,moby258,A2015208000000.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_594141_B5.tgz,0.00000000,25,1448,20.22,20.58,0.012,1.618,0.01528300,0.01103900,0.00685700,0.00231100,0.00170000,0.00140300,0.00011000,0.00012600,0.01438439,0.01044874,0.00631025,0.00213155,0.00148899,0.00135577,0.00011151,0.00011227,moby
594171,20.82039800,-157.20042300,2015-07-31 23:37:09,moby258,A2015213001500.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_594171_B5.tgz,0.00000000,25,2546,24.71,49.88,0.013,6.808,0.01370000,0.01027300,0.00651500,0.00222600,0.00163400,0.00133900,0.00014100,0.00012900,0.01251874,0.00948662,0.00631052,0.00215446,0.00152510,0.00139302,0.00011994,0.00012384,moby
594183,20.81997000,-157.20035700,2015-08-02 23:36:25,moby258,A2015215000500.L2_LAC.R0000031842_13885_594183.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,1855,22.01,32.37,0.007,7.554,0.01434700,0.01063600,0.00677700,0.00233400,0.00171600,0.00140500,0.00013300,0.00012600,0.01344479,0.00979863,0.00603057,0.00206689,0.00144792,0.00131914,0.00010898,0.00011258,moby
594226,20.80763500,-157.18940800,2014-05-16 23:35:28,moby255,A2014137002500.L2_LAC.R0000031837_20N_20N_157W_157W.hdf_OCVAL.nc_13882_594226_B5.tgz,0.00000000,25,3051,28.46,56.76,0.022,1.944,0.01339100,0.00957900,0.00606600,0.00194700,0.00139400,0.00113200,0.00003000,0.00002400,0.01375793,0.01001267,0.00637154,0.00223847,0.00156210,0.00142139,0.00011590,0.00011672,moby
594244,20.81413000,-157.18364000,2014-05-19 00:40:29,moby255,A2014139001000.L2_LAC.R0000031837_20N_20N_157W_157W.hdf_OCVAL.nc_13882_594244_B5.tgz,0.00000000,25,-1587,25.52,42.64,0.014,1.286,0.01494300,0.01105400,0.00701900,0.00255500,0.00192200,0.00157900,0.00013600,0.00014800,0.01318712,0.00993365,0.00628482,0.00220066,0.00153118,0.00139271,0.00011211,0.00011503,moby
594400,20.82516000,-157.19778800,2014-06-19 23:36:00,moby255,A2014171001000.L2_LAC.R0000031837_13882_594400.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2264,24.08,42.36,0.009,7.708,0.01291400,0.00981200,0.00637300,0.00218400,0.00161800,0.00139000,0.00012700,0.00013100,0.01274706,0.00967491,0.00615357,0.00213706,0.00149775,0.00136452,0.00011514,0.00011589,moby
